entity,total_mentions,doc_freq
여장남자시코쿠,29,18
문예중앙,27,12
창비,19,7
문학과사회,18,6
트랙과들판의별,14,4
기담,13,3
현대시,12,4
문학동네,10,8
나는이세상에없는계절이다,10,5
날으는고슴도치아가씨,9,8
사춘기,9,7
진흙얼굴,9,3
실천문학,8,6
뱀소년의외출,7,3
구지가,7,3
고양이가돌아오는저녁,7,2
미래파,7,4
경계도시2,7,1
슬픔이없는십오초,7,2
거인,6,5
주치의h,6,4
자명한산책,6,1
현대문학,6,4
몰락의에티카,6,5
열쇠,6,1
들려주려니말이라했지만,6,3
나는,6,1
작가와비평,5,4
환상수족,5,4
커밍아웃,5,3
이별의능력,5,3
물뱀,5,1
칸트의동물원,4,4
서정시학,4,3
시차의눈을달랜다,4,1
마징가계보학,4,4
리스본行야간열차,4,1
붉은눈동백,4,2
서정은진화한다,4,3
선데이서울,4,1
윤리학,4,2
현대시학,4,3
에듀케이션,4,2
동서문학,4,3
문제는서정이아니다,4,4
모래인간,4,1
사랑을위한되풀이,4,1
우리의시대는다르다,4,1
근대문학의종언,4,1
납치,3,2
2000년대문학의키워드-젊은비평가의시선,3,1
반대자의윤리,3,3
다른목소리들,3,3
문장,3,3
문학들,3,2
감각적인것의분배,3,3
육체쇼와전집,3,2
짐승을토하고죽는식물이거나식물을토하고죽는짐승이거나,3,1
서랍,3,2
시코쿠,3,2
버찌의계절,3,2
이상한나라의앨리스,3,2
모모,3,2
토끼와거북이,3,1
거북속의내거북이,3,3
세계의문학,3,3
살레시오네집,3,2
부재중,3,2
내워크맨속갠지스,3,2
목숨,3,3
감성의분할,3,2
누보바로크,3,1
시인수첩,3,2
시와반시,3,3
미래파2,3,3
우리는매일매일,3,3
눈보라속을날아서,3,2
평면혹은우발성의시,3,2
문학수첩,3,3
살수제비끓이는아이,3,3
휘파람,3,1
너무작은처녀들,3,2
에로틱파괴어린빌리지의겨울,3,3
태양의연대기,3,2
웃는다웃어야하기에,3,2
NANA,3,1
검은나나,3,1
글쓰기의영도,3,2
창세기,3,2
가만히좋아하는,3,2
정오의희망곡,3,1
일요일,3,1
현실,3,1
시학,3,1
레바논감정,3,1
오래된아이,2,1
키스,2,2
엄마배고파,2,1
2000년대한국문학이읽은시대적징후,2,1
미래파-2005년젊은시인들,2,2
한진지한시인의고뇌에대하여,2,2
문학성의새로운구성,2,1
2000년대문학을둘러싼논쟁과성찰,2,1
한국문학최근의징후들,2,1
문학의현재와전사그관계,2,1
2000년이후한국문학이겪은것겪어야할것,2,1
서울신문,2,1
유령,2,1
유령들,2,2
환상이라는유령환상의리얼리티,2,1
검은나나의꿈,2,2
저꽃이불편하다,2,1
노숙,2,2
시와시학,2,2
여장남자시코,2,1
